Date,CMA
20220511,0.95
20220512,-1.09
20220513,-0.68
20220516,1.32
20220517,-0.32
20220518,0.35
20220519,-0.86
20220520,0.16
20220523,1.02
20220524,1.13
20220525,0
20220526,-0.31
20220527,-0.26
20220531,-0.25
20220601,1.08
20220602,-1.48
20220603,0.45
20220606,0.18
20220607,0.66
20220608,-0.22
20220609,0.15
20220610,0.48
20220613,-0.37
20220614,0.04
20220615,-1.13
20220616,-0.64
20220617,-2.01
20220621,0
20220622,-1.6
20220623,-1.87
20220624,-0.33
20220627,1.29
20220628,1.29
20220629,-0.85
20220630,-0.16
20220701,-0.1
20220705,-2.12
20220706,-0.3
20220707,-1.33
20220708,-0.22
20220711,1.23
20220712,0.81
20220713,-0.33
20220714,-0.02
20220715,-0.39
20220718,-0.1
20220719,-0.61
20220720,-1.49
20220721,-0.89
20220722,1.51
20220725,0.51
20220726,1.18
20220727,-1.34
20220728,-0.86
20220729,-1.18
20220801,0.35
20220802,-0.45
20220803,-0.68
20220804,-0.84
20220805,-0.24
20220808,0.22
20220809,1.28
20220810,-1.37
20220811,0.85
20220812,-0.54
20220815,-0.01
20220816,0.53
20220817,0.66
20220818,0.08
20220819,1.25
20220822,0.2
20220823,-0.2
20220824,-0.49
20220825,-0.41
20220826,0.87
20220829,0.42
20220830,0.12
20220831,-0.12
20220901,0.56
20220902,0.24
20220906,-0.66
20220907,-0.53
20220908,-1.05
20220909,-0.49
20220912,-0.16
20220913,0.92
20220914,-0.44
20220915,0.2
20220916,0.93
20220919,-0.08
20220920,0.34
20220921,0.11
20220922,0.9
20220923,-0.23
20220926,-0.41
20220927,-0.88
20220928,-0.72
20220929,0.5
20220930,-0.1
20221003,0.34
20221004,-0.31
20221005,0.15
20221006,-0.48
20221007,1.45
20221010,0.39
20221011,0.65
20221012,0.01
20221013,0.94
20221014,1.56
20221017,-1.16
20221018,0.05
20221019,0.75
20221020,0.15
20221021,-0.23
20221024,0.47
20221025,-1.22
20221026,0.67
20221027,0.51
20221028,0.6
20221031,0.48
20221101,0.41
20221102,1.05
20221103,0.07
20221104,0.61
20221107,0.93
20221108,0.07
20221109,1.06
20221110,-2.79
20221111,-1.12
20221114,0.43
20221115,-0.52
20221116,0.91
20221117,0.75
20221118,0.62
20221121,1.08
20221122,-0.24
20221123,-0.56
20221125,0.14
20221128,0.32
20221129,0.47
20221130,-1.42
20221201,-0.3
20221202,0.32
20221205,0.99
20221206,0.7
20221207,-0.22
20221208,-0.62
20221209,0.12
20221212,-0.15
20221213,-0.58
20221214,-0.08
20221215,0.36
20221216,0.43
20221219,1.15
20221220,0.45
20221221,-0.28
20221222,0.88
20221223,0.46
20221227,1.19
20221228,-0.03
20221229,-0.82
20221230,0.01
